Table Name in NetSuite2.com,Field ID in NetSuite2.com,Field Name in NetSuite2.com
AccountSubsidiaryMap,account,
AccountSubsidiaryMap,subsidiary,
accountingbook,externalid,
accountingbook,basebook,
accountingbook,lastmodifieddate,
accountingbook,effectiveperiod,
accountingbooksubsidiaries,effectiveperiod,
accountingbook,isadjustmentonly,
accountingbook,isconsolidated,
accountingbook,contingentrevenuehandling,
accountingbook,isprimary,
accountingbook,twosteprevenueallocation,
accountingbook,unbilledreceivablegrouping,
accountingperiod,closed,
accountingperiod,aplocked,
accountingperiod,arlocked,
accountingperiod,alllocked,
accountingperiod,closedondate,
accountingperiod,payrolllocked,
accountingperiod,lastmodifieddate,
accountingperiod,enddate,
accountingperiodfiscalcalendars,fiscalcalendar,
periodfiscalcalendars,fiscalcalendar,
taxperiodfiscalcalendars,fiscalcalendar,
accountingperiod,isadjust,
accountingperiod,isinactive,
accountingperiod,aplocked,
accountingperiod,arlocked,
accountingperiod,alllocked,
accountingperiod,payrolllocked,
accountingperiod,periodname,
accountingperiod,parent,
accountingperiodfiscalcalendars,parent,
periodfiscalcalendars,parent,
taxperiodfiscalcalendars,parent,
accountingperiod,isquarter,
accountingperiod,startdate,
accountingperiod,isyear,
account,externalid,
Account,id,ID
Account,acctNumber,Number
category1099misc,name,
category1099misc,threshold,
account,class,
account,lastmodifieddate,
revenueelement,defercontractexpenseacct,
account,department,
accounttype,balancesheet,
account,eliminate,
account,revalue,
accounttype,left,
account,issummary,
account,isinactive,
account,location,
Account,acctName,Name
account,balance,
Account,acctType,Type
Activity,id,
Activity,supportcase,
Activity,contact,
Activity,completeddate,
Activity,createddate,
Activity,lastmodifieddate,
Activity,status,
Activity,title,
Activity,type,
addressbook,internalid,
companyaddressbook,internalid,
contactaddressbook,internalid,
customeraddressbook,internalid,
employeeaddressbook,internalid,
entityaddressbook,internalid,
jobaddressbook,internalid,
mfgprojectaddressbook,internalid,
othernameaddressbook,internalid,
partneraddressbook,internalid,
transactionaddressbook,internalid,
transactionbillingaddressbook,internalid,
transactionpayeeaddressbook,internalid,
transactionreturnaddressbook,internalid,
transactionshippingaddressbook,internalid,
vendoraddressbook,internalid,
companyaddressbook,addressbookaddress,
companyaddressbook,addressbookaddress_key,
contactaddressbook,addressbookaddress,
contactaddressbook,addressbookaddress_key,
customeraddressbook,addressbookaddress,
customeraddressbook,addressbookaddress_key,
employeeaddressbook,addressbookaddress,
employeeaddressbook,addressbookaddress_key,
entityaddressbook,addressbookaddress,
entityaddressbook,addressbookaddress_key,
jobaddressbook,addressbookaddress,
jobaddressbook,addressbookaddress_key,
mfgprojectaddressbook,addressbookaddress,
mfgprojectaddressbook,addressbookaddress_key,
othernameaddressbook,addressbookaddress,
